,review title,job title,job location,date,description,pros,cons
110,Very nice work experience,Assistant and accountant,Lubumbashi,"October 21, 2017","My greatest professional experience. I've tested my limits and learned many things including internal audit, external and public relations and how to settle conflicts within the company.","Free meals, many fringe benefits",distant work site
111,Professionally fulfilling,Project Engineering Consultant,Mines located around Rustenburg and Polokwane,"October 18, 2017","A greaat platform for professional career development using world class standards and methodologies. Motivated multi disciplinary teams would work on between 2 to 3 projects simultaneously, each with a defined budget and timeline. Emphasis on autonomous responsibility however with essential upward communication with the Project Director.The challenging part of the job was to try and ascertain early enough any potential risks the project might face and take timeous action to avert or ameliorate such risk. The most enjoyable aspect is the realization of a concept into a fully operational plant and the start of production.",#VALUE!,#VALUE!
112,very interesting and impolgante,industrial process operator,"Hat £ o, SP","October 18, 2017","with many daily challenges and goals to be long for the £ produ√ß√ and manages, with direct service to customers and transportation, for better care, knowing what are the best products for them","transportation, meal on site",medical profession
113,"√ ""last company to work for",Technical industrial designer,"Barro Alto, GO","October 17, 2017","Excellent company to work with. I worked for seven years in the same, √≥timos benefits and wages.",sim,#VALUE!
114,What I really liked the work,Practical professional mining company‚ ô s ±,"Santiago de Chile, Metropolitana Regi√≥n","October 16, 2017","completely all, it is an excellent company‚ ± yy. I'd love to go back to work aha.",#VALUE!,#VALUE!
115,Typical day,Project Geologist,South Africa,"October 15, 2017","In the morning i first check emails for important message and notices. Then go to site to check on drilling crew and have weekly safety meeting. Checking core recovery using geophysics or determining structural orientation from diamond core. Checking if the other Geologist logged correctly form the chip cutting. Using aeromagnetic data, soil samples for planing new target sites for drilling. Working out a drilling program for different rigs such as RC, Diamond, Air flush core so that cost can be minimize. Developing geological data base and design 3D paper model of deposit then do a soft copy model. Training young Geologist in the field. Submission to government of Green House Gaseous (GHG) to prevent any potential fatalities.",Always inspiring and developing others to unexpected heights,Remote places of work
116,anglo American,Call Centre Agent,durban,"October 14, 2017",The company is doggy they do Not act according to their contract. I left Cause i was Not getting paid accordingly. But i gained out bound experience.,N/a,long hours no pay
117,good company to work for,Welder / MECA ¢ nico,"Concei√ß√ £ Within the Mato, MG","October 10, 2017","I enjoyed the Experience of working in the company, learned a lot.",The £ refei√ß√ it was in company,#VALUE!
118,"Fun place to work, but only through agencies",IT Coordinator,"London, Greater London","October 10, 2017",It was a fun place to work the only reson for the 3 stars is because they do not employee people directly which means you do not have job security. Thank you.,Free Lunches,#VALUE!
119,exellent company,T√ © cynical in Chemistry,"Nacp√°, of","October 6, 2017",Exellent company. Unfortunately closed due to inability to dispose production.,#VALUE!,#VALUE!
120,Very productive,Bartender,Limpopo,"September 29, 2017","I've had good time working for this company and it has been an awesome time.im able to provide for my family, but I'm still to grow with in the company maybe to a higher position than I am right now.",Yes we do get free lunches,Long hours are considered as overtime
121,Company very organized,Apprentice,"Niquel√ ¢ ndia, GO","September 26, 2017","I was apprentice electronics, it has a √≥tima dire√ß√ £ o.",sim,#VALUE!
122,Company enjoyable to Work,Analyst Supplies S√™nior,"Belo Horizonte, MG","September 25, 2017","Environment enjoyable, people cooperatives and good quality resources.","√ ""phasic thymus environment for work",RH with structured but no applicability Politics
123,Company to work for a short time,Systems Analyst,"Belo Horizonte, MG","September 21, 2017",Being a company that does the £ has a clear career path becomes a company just for you to use as a springboard to their professional success.,medical Convention,Do the offers £ career plan
124,"productive, job creating company",Sender,"Black Stone, Limpopo","September 20, 2017","You will never go home for no proper reason, management and hod cares for everyone. The culture is respected and they develop their employers. Good company after all","safety and motivational packs, monthly and kpi bonuses",absentism
125,Productive,Pipe tracks and ventilation,South Africa,"September 19, 2017",I'm working at Twickenham mine as pipe tracks and ventilation /pump attendant and artisan assistant Anglo American it's good company give us free lunch,Free lunch,Health care
127,good school,Professor in the field of InglÈs © s,"Zacatepec, Mor.","September 19, 2017",It is a school with many schools in M√ © xico you develop many skills working with ellos.Trabajas with them either in the schools or other businesses that require services.,"good working environment, growth opportunities.",#VALUE!
128,Hard working and safe working environment,Operator haul truck,"Kathu, Northern Cape","September 17, 2017","Putting safety of their workers first it's their number one priority. They always keep their promises while it comes to their employees, healthy working environment as well.",#VALUE!,#VALUE!
